"Monthly-mean 2-d atmosphere or land surface data (longitude, latitude, time:month)",,,,,,,,,
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_emission,Total Emission Rate of Seasalt,emiss,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Seasalt,dryss,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_seasalt_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Seasalt,wetss,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_emission,Total Emission Rate of Dust,emidust,kg m-2 s-1,NA,time: mean,up,0.0,1000000.0,Integrate 3D emission field vertically to 2d field.
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_dry_deposition,Dry Deposition Rate of Dust,drydust,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"Dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_dust_dry_aerosol_due_to_wet_deposition,Wet Deposition Rate of Dust,wetdust,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,
effective_radius_of_cloud_liquid_water_particle_at_liquid_water_cloud_top,Cloud-Top Effective Droplet Radius,reffclwtop,m,NA,time: mean,NA,0.0,1.0,"Droplets are liquid only.  This is the effective radius 'as seen from space' over liquid cloudy portion of grid cell. This is the value from the uppermost model layer with liquid cloud or, if available, or for some models it is the sum over all liquid cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere.  Reported values are weighted by total liquid cloud top fraction (as seen from TOA) of each time sample when computing monthly mean."
CF25_FAIL effective_radius_of_cloud_ice_particle_at_ice_cloud_top,Ice Cloud-Top Effective Crystal Radius,reffclitop,m,NA,time: mean,NA,0.0,1.0,"This is the value from uppermost model layer with ice cloud or, if available, or for some models it is the sum over all ice cloud tops, no matter where they occur, as long as they are seen from the top of the atmosphere.  Reported values are weighted by total cwiceliquid cloud top fraction of  (as seen from TOA) each time sample when computing monthly mean. proposed name: effective_radius_of_cloud_crystal_at_ice_cloud_top"
tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition,Dry Deposition Rate of O3,dryo3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"dry deposition includes gravitational settling, impact scavenging, and turbulent deposition."
tendency_of_atmosphere_mass_content_of_ozone_due_to_dry_deposition_into_stomata,Dry Deposition Rate of O3 in Stomata,stoo3,kg m-2 s-1,NA,time: mean,down,0.0,1000000.0,"(dry deposition includes gravitational settling, impact scavenging, and turbulent deposition)."
