"Monthly-mean zonal mean 2-d atmosphere or land surface data (latitude, pressure, time:month) Provide output interpolated to fixed pressure levels at:",,,,,,,,,
1000 850 700 500 400 300 250 200 170 150 130 115 100 90 80 70 50 30 20 15 10 7 5 3 2 1.5 1 0.5 0.3 0.2 0.1,,,,,,,,,"(interpolate first each column to fixed pressure levels, then calculate zonal mean; take into account missing values)"
,,,,,,,,,
CF standard name,Long_name,Output variable name,Units,Scalar dims,Cell Method,Positive Flux Dir.,Min Value,Max Value,Notes
mole_fraction_of_dinitrogen_pentoxide_in_air,Zonal Mean N2O5 Volume Mixing Ratio,zmn2o5,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_peroxynitric_acid_in_air,Zonal Mean HNO4 Volume Mixing Ratio,zmhno4,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_atomic_bromine_in_air,Zonal Mean Br Volume Mixing Ratio,zmbr,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_bromine_monoxide_in_air,Zonal mean BrO Volume Mixing Ratio,zmbro,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_bromine_chloride_in_air,Zonal mean BrCl Volume Mixing Ratio,zmbrcl,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hydrogen_bromide_in_air,Zonal Mean HBr Volume Mixing Ratio,zmhbr,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_hypobromous_acid_in_air,Zonal Mean HOBr Volume Mixing Ratio,zmhobr,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
mole_fraction_of_bromine_nitrate_in_air,Zonal Mean BrONO2 Volume Mixing Ratio,zmbrono2,mole mole-1,NA,time: mean longitude: mean,NA,0.0,1.0,
northward_eliassen_palm_flux_in_air,Northward EPF,fy,kg s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Transformed Eulerian Mean Diagnostics Meridional component Fy of EP-flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available).  Please use the definitions given by equation 3.5.3a of Andrews, Holton and Leovy text book."
upward_eliassen_palm_flux_in_air,Upward EPF,fz,kg s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Transformed Eulerian Mean Diagnostics Meridional component Fz of EP-flux (Fy, Fz) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available).  Please use the definitions given by equation 3.5.3b of Andrews, Holton and Leovy text book."
tendency_of_eastward_wind_due_to_eliassen_palm_flux_divergence,Tendency of Eastward Wind from EPF Divergence,acceldivf,m s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Transformed Eulerian Mean Diagnostics Acceleration from the EP-flux divergence (D) derived from 6hr or higher frequency fields (use daily fields or 12 hr fields if the 6 hr are not available).  Please use the definitions given by equation 3.5.2a of Andrews, Holton and Leovy text book."
northward_transformed_eulerian_mean_air_velocity,Northward TEM air velocity,vstar,m s-1,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Transformed Eulerian Mean Diagnostics v*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available)."
CF25_FAIL upward_transformed_eulerian_mean_air_velocity,Upward TEM air velocity,wstar,m s-1,NA,time: mean longitude: mean,NA,-10000.0,10000.0,"Transformed Eulerian Mean Diagnostics w*, meridional component of the residual meridional circulation (v*, w*) derived from 6 hr or higher frequency data fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available). Scale height: 6950 m"
tendency_of_eastward_wind_due_to_gravity_wave_drag,Tendency of Eastward Wind from GWD,accelgw,m s-2,NA,time: mean longitude: mean,NA,-10000.0,10000.0,Eastward acceleration from the total (orographic + non-orographic) parameterized gravity wave drag (GWD) derived either from daily means or 6hr fields (use instantaneous daily fields or 12 hr fields if the 6 hr data are not available). Use the accelerations as applied in your model.
